key,cbs_Key,firstName,lastName,profileUrl,defaultAssetUrl,primaryPosition,compositeRating,compositeStarRating,compositeNationalRank,compositePositionRank,compositeStateRank,homeTown.city,homeTown.state,committedInstitution.institutionKey,committedInstitution.teamKey,committedInstitution.cbsKey,committedInstitution.name,committedInstitution.abbreviation,committedInstitution.fullName,signedInstitution.institutionKey,signedInstitution.teamKey,signedInstitution.cbsKey,signedInstitution.name,signedInstitution.abbreviation,signedInstitution.fullName,currentInstitution.institutionKey,currentInstitution.teamKey,currentInstitution.cbsKey,currentInstitution.name,currentInstitution.abbreviation,currentInstitution.fullName,committedInstitution,signedInstitution,homeTown
46166361,50027708,Musa,Sagnia,/player/Musa-Sagnia-46166361,/Uploads/Assets/741/743/13743741.jpeg,C,87.0,3.0,303.0,46.0,14.0,Gambia,GAMB,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,24015,18.0,21135.0,NC State,NCST,NC State Wolfpack,0.0,0.0,0.0
46166961,50014590,Jason,Kimbrough Jr.,/player/Jason-Kimbrough Jr.-46166961,/Uploads/Assets/856/844/13844856.jpg,PG,0.0,0.0,0.0,0.0,0.0,Phoenix,AZ,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,24067,450.0,21266.0,Bowling Green,BG,Bowling Green Falcons,0.0,0.0,0.0
46160285,50001309,Adria,Rodriguez,/player/Adria-Rodriguez-46160285,/Uploads/Assets/524/252/13252524.png,CG,0.0,0.0,0.0,0.0,0.0,Spain,SPAI,24095.0,163.0,21344.0,Washington State,WSU,Washington State Cougars,24095.0,163.0,21344.0,Washington State,WSU,Washington State Cougars,24095,163.0,21344.0,Washington State,WSU,Washington State Cougars,0.0,0.0,0.0
46154778,29666446,Keziah,Ekissi,/player/Keziah-Ekissi-46154778,/Uploads/Assets/615/360/13360615.jpg,PG,0.0,0.0,0.0,0.0,0.0,France,FRAN,24091.0,155.0,21339.0,Oregon State,ORST,Oregon State Beavers,24091.0,155.0,21339.0,Oregon State,ORST,Oregon State Beavers,24091,155.0,21339.0,Oregon State,ORST,Oregon State Beavers,0.0,0.0,0.0
46136409,29084736,Caleb,Steger,/player/Caleb-Steger-46136409,/Uploads/Assets/656/275/13275656.jpeg,SG,89.09103078982598,4.0,276.0,49.0,23.0,Dallas,TX,24007.0,2.0,21160.0,Boston College,BC,Boston College Eagles,24007.0,2.0,21160.0,Boston College,BC,Boston College Eagles,24007,2.0,21160.0,Boston College,BC,Boston College Eagles,0.0,0.0,0.0
46143445,0,Cy,Merrett,/player/Cy-Merrett-46143445,/Uploads/Assets/450/841/13841450.jpg,SG,0.0,0.0,0.0,0.0,0.0,New Orleans,LA,24056.0,96.0,21242.0,Southern Miss,SMISS,Southern Miss Golden Eagles,0.0,0.0,0.0,0,0,0,23658,0.0,0.0,Southwest Mississippi C.C.,SMCC,Southwest Mississippi C.C.,0.0,0.0,0.0
46134930,28906154,Akai,Fleming,/player/Akai-Fleming-46134930,/Uploads/Assets/702/343/13343702.jpg,SG,90.0,4.0,144.0,29.0,6.0,Atlanta,GA,24011.0,10.0,21132.0,Georgia Tech,GTECH,Georgia Tech Yellow Jackets,24011.0,10.0,21132.0,Georgia Tech,GTECH,Georgia Tech Yellow Jackets,24011,10.0,21132.0,Georgia Tech,GTECH,Georgia Tech Yellow Jackets,0.0,0.0,0.0
46165691,50025621,Xavier,Spencer,/player/Xavier-Spencer-46165691,/Uploads/Assets/586/660/13660586.jpeg,CG,0.0,0.0,0.0,0.0,0.0,Canada,CANA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,25227,659.0,2101685.0,UMass Lowell,UML,UMass Lowell River Hawks,0.0,0.0,0.0
46166860,50014656,Peteris,Pinnis,/player/Peteris-Pinnis-46166860,/Uploads/Assets/661/835/13835661.jpg,C,0.0,0.0,0.0,0.0,0.0,Latvia,LATV,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,24308,413.0,21166.0,Providence,PROV,Providence Friars,0.0,0.0,0.0
46166491,28952129,Tanner,Hayhurst,/player/Tanner-Hayhurst-46166491,/Uploads/Assets/684/774/13774684.jpeg,SF,0.0,0.0,0.0,0.0,0.0,Eagle,ID,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,24157,487.0,21280.0,Southern Utah,SUT,Southern Utah Thunderbirds,0.0,0.0,0.0
46159021,50027146,Tiefing,Diawara,/player/Tiefing-Diawara-46159021,/Uploads/Assets/589/356/13356589.jpg,C,85.0,3.0,416.0,66.0,11.0,Delafield,WI,24037.0,62.0,21170.0,Syracuse,SYR,Syracuse Orange,0.0,0.0,0.0,0,0,0,24037,62.0,21170.0,Syracuse,SYR,Syracuse Orange,0.0,0.0,0.0
