year,recruit_key,html_path,skill_rating,skill_athleticism,skill_defender,skill_face_up_high_post_scorer,skill_handle,skill_leadership,skill_low_post_scorer,skill_passing,skill_passing_vision,skill_penetration_ability,skill_physicality_motor,skill_rebounding,skill_shooter,skill_size,skill_versatility,full_name
2010,32330,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/32330.html,False,,,,,,,,,,,,,,,Josh Smith
2010,32523,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/32523.html,False,,,,,,,,,,,,,,,Antonio Barton
2010,33295,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/33295.html,False,,,,,,,,,,,,,,,Tony Snell
2010,33405,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/33405.html,False,,,,,,,,,,,,,,,Nathan Scheer
2010,35163,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/35163.html,False,,,,,,,,,,,,,,,Joe Jackson
2010,35164,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/35164.html,False,,,,,,,,,,,,,,,Chris Crawford
2010,35256,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/35256.html,False,,,,,,,,,,,,,,,Hippolyte Tsafack
2010,35258,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/35258.html,False,,,,,,,,,,,,,,,Trey Draper
2010,36209,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/36209.html,False,,,,,,,,,,,,,,,Doug McDermott
2010,36298,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/36298.html,False,,,,,,,,,,,,,,,Zach McCabe
2010,36299,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/36299.html,False,,,,,,,,,,,,,,,Melsahn Basabe
2010,36300,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/36300.html,False,,,,,,,,,,,,,,,Devyn Marble
2010,36619,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/36619.html,False,,,,,,,,,,,,,,,Ahmad Starks
2010,36621,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/36621.html,False,,,,,,,,,,,,,,,Rayvonte Rice
2010,36703,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/36703.html,False,,,,,,,,,,,,,,,Petar Torlak
2010,36761,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/36761.html,False,,,,,,,,,,,,,,,Rashaad Richardson
2010,36762,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/36762.html,False,,,,,,,,,,,,,,,Devonta White
2010,36924,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/36924.html,False,,,,,,,,,,,,,,,Anthony Lee
2010,36926,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/36926.html,False,,,,,,,,,,,,,,,Jimmy McDonnell
2010,37002,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/37002.html,False,,,,,,,,,,,,,,,Curtis Washington
2010,37038,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/37038.html,False,,,,,,,,,,,,,,,Alan Wisniewski
2010,37050,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/37050.html,False,,,,,,,,,,,,,,,Joseph Young
2010,37118,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/37118.html,False,,,,,,,,,,,,,,,Kikko Haydar
2010,39683,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/39683.html,False,,,,,,,,,,,,,,,Markel Brown
2010,39689,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/39689.html,False,,,,,,,,,,,,,,,Michael Cobbins
2010,46083403,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/46083403.html,False,,,,,,,,,,,,,,,Will DiIorio
2010,46110466,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/46110466.html,False,,,,,,,,,,,,,,,Dexter Kernich-Drew
2010,52732,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/52732.html,False,,,,,,,,,,,,,,,Bryce Cotton
2010,52733,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/52733.html,False,,,,,,,,,,,,,,,M.J. Rhett
2010,57763,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/57763.html,False,,,,,,,,,,,,,,,Justin Martin
2010,57930,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/57930.html,False,,,,,,,,,,,,,,,Cody Doolin
2010,58627,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/58627.html,False,,,,,,,,,,,,,,,Jonathan Arledge
2010,58865,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/58865.html,False,,,,,,,,,,,,,,,Jon Horford
2010,59059,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/59059.html,False,,,,,,,,,,,,,,,Ky Madden
2010,59178,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/59178.html,False,,,,,,,,,,,,,,,Aliaksei Patsevich
