hs_year,player_key,full_name,hs_position,hs_height_in,hs_weight,hs_stars,hs_rating,hs_national_rank,hs_position_rank,scouting_report,scouting_report_evaluator_name,bv_role,has_scouting_report_text,has_scouting_report_evaluator,_embedding_cache_key
2010,33405,Nathan Scheer,SG,77,185,3.0,82.44444444444446,389.0,87.0,,__missing__,Wing G,False,False,33405_2010
2010,35163,Joe Jackson,PG,71,160,5.0,98.8087168443376,19.0,5.0,,__missing__,Scoring PG,False,False,35163_2010
2010,35164,Chris Crawford,CG,76,222,4.0,92.60508701472556,104.0,4.0,,__missing__,Scoring PG,False,False,35164_2010
2010,35256,Hippolyte Tsafack,PF,80,240,3.0,88.74074074074072,175.0,38.0,,__missing__,C,False,False,35256_2010
2010,35258,Trey Draper,PG,70,170,,,,,,__missing__,Scoring PG,False,False,35258_2010
2010,36209,Doug McDermott,SF,80,225,4.0,90.33333333333333,156.0,34.0,,__missing__,Stretch 4,False,False,36209_2010
2010,36298,Zach McCabe,PF,78,201,3.0,85.62962962962963,267.0,69.0,,__missing__,Wing F,False,False,36298_2010
2010,36299,Melsahn Basabe,SF,79,215,3.0,88.29629629629629,198.0,45.0,,__missing__,PF/C,False,False,36299_2010
2010,36300,Devyn Marble,CG,78,200,,,,,,__missing__,Wing G,False,False,36300_2010
2010,36619,Ahmad Starks,PG,69,170,4.0,90.98795180722891,147.0,31.0,,__missing__,Scoring PG,False,False,36619_2010
2010,36621,Rayvonte Rice,SG,76,235,3.0,84.44444444444444,317.0,74.0,,__missing__,Wing G,False,False,36621_2010
2010,36703,Petar Torlak,PG,74,185,,,,,,__missing__,Combo G,False,False,36703_2010
2010,36762,Devonta White,PG,72,150,3.0,85.4074074074074,287.0,56.0,,__missing__,Pure PG,False,False,36762_2010
2010,37002,Curtis Washington,C,82,230,3.0,84.14814814814815,337.0,26.0,,__missing__,C,False,False,37002_2010
2010,37118,Kikko Haydar,PG,70,170,,,,,,__missing__,Pure PG,False,False,37118_2010
2010,39683,Markel Brown,SG,75,190,4.0,91.2904953145917,144.0,37.0,,__missing__,Wing G,False,False,39683_2010
2010,52732,Bryce Cotton,PG,73,165,,,,,,__missing__,Wing G,False,False,52732_2010
2010,57930,Cody Doolin,PG,74,190,,,,,,__missing__,Scoring PG,False,False,57930_2010
2010,58627,Jonathan Arledge,PF,81,220,3.0,88.07407407407406,210.0,49.0,,__missing__,Wing F,False,False,58627_2010
2010,58865,Jon Horford,PF,82,250,3.0,88.07407407407406,210.0,49.0,,__missing__,C,False,False,58865_2010
2010,59179,Matt Derenbecker,SF,78,180,4.0,95.46492310242967,78.0,16.0,,__missing__,Wing G,False,False,59179_2010
2010,59182,Ralston Turner,SF,77,195,4.0,92.33467202141901,112.0,28.0,,__missing__,Wing G,False,False,59182_2010
2010,59184,Tyrone Garland,PG,73,170,3.0,88.74074074074072,175.0,35.0,,__missing__,Combo G,False,False,59184_2010
2010,59187,Josh Langford,SF,78,210,3.0,88.07407407407406,210.0,49.0,,__missing__,PF/C,False,False,59187_2010
2010,59190,Kevin Brown,PG,74,195,3.0,82.66666666666667,375.0,73.0,,__missing__,Combo G,False,False,59190_2010
2010,59191,Jonathan Frye,SG,75,180,3.0,82.44444444444446,389.0,87.0,,__missing__,Wing G,False,False,59191_2010
2010,59192,Will Barton,SG,78,175,5.0,99.3062401967588,12.0,1.0,,__missing__,Wing G,False,False,59192_2010
2010,59193,Demarco Cox,C,80,285,4.0,92.41026536469177,110.0,11.0,,__missing__,C,False,False,59193_2010
2010,59197,Jarvis Davis,PG,73,175,2.0,76.66666666666667,483.0,91.0,,__missing__,Combo G,False,False,59197_2010
2010,59198,Ricky Kreklow,SG,77,185,3.0,88.07407407407406,210.0,48.0,,__missing__,Wing G,False,False,59198_2010
2010,59199,Dwight McCombs,PF,80,240,2.0,76.66666666666667,483.0,119.0,,__missing__,C,False,False,59199_2010
2010,59200,Isaiah Sykes,SF,77,200,3.0,88.29629629629629,198.0,45.0,,__missing__,Wing G,False,False,59200_2010
2010,59203,Dundrecous Nelson,PG,71,180,4.0,95.04417670682732,86.0,19.0,,__missing__,Scoring PG,False,False,59203_2010
2010,59205,Donald Williams,SG,76,180,3.0,81.11111111111111,421.0,96.0,,__missing__,Wing F,False,False,59205_2010
2010,59207,Dominique Ferguson,PF,81,210,4.0,96.84294693723716,49.0,10.0,,__missing__,Stretch 4,False,False,59207_2010
2010,59208,Melvin Ejim,SF,78,220,3.0,88.51851851851852,182.0,41.0,,__missing__,Wing F,False,False,59208_2010
2010,59209,Phil Pressey,PG,71,175,4.0,96.92152617768124,47.0,13.0,,__missing__,Pure PG,False,False,59209_2010
2010,59210,Calvin Godfrey,PF,80,240,3.0,82.66666666666667,375.0,92.0,,__missing__,C,False,False,59210_2010
2010,59211,Phil Taylor,PG,69,160,3.0,81.11111111111111,421.0,81.0,,__missing__,Combo G,False,False,59211_2010
2010,59212,Eric McKnight,PF,81,210,3.0,83.55555555555556,349.0,83.0,,__missing__,C,False,False,59212_2010
2010,59214,DeJuan Wright,SG,76,175,2.0,76.66666666666667,483.0,110.0,,__missing__,Wing G,False,False,59214_2010
2010,59215,DeMarcus Phillips,SG,75,195,3.0,85.55555555555554,272.0,60.0,,__missing__,Wing G,False,False,59215_2010
2010,59217,Jordan Railey,C,82,215,3.0,83.77777777777779,344.0,30.0,,__missing__,PF/C,False,False,59217_2010
2010,59219,Kyle Fuller,PG,73,190,4.0,91.78848728246318,128.0,27.0,,__missing__,Scoring PG,False,False,59219_2010
2010,59222,Aaron Brown,SF,76,185,3.0,84.74074074074075,308.0,62.0,,__missing__,Wing G,False,False,59222_2010
2010,59223,Rod Odom,SF,80,207,4.0,92.50160060531982,108.0,27.0,,__missing__,Stretch 4,False,False,59223_2010
2010,59226,Amric Fields,PF,80,205,3.0,82.44444444444446,389.0,97.0,,__missing__,Wing F,False,False,59226_2010
2010,59228,Jarvis Ray,PG,78,178,3.0,84.66666666666667,310.0,61.0,,__missing__,Wing F,False,False,59228_2010
2010,59231,Calvin Newell,PG,72,180,3.0,86.66666666666666,239.0,49.0,,__missing__,Scoring PG,False,False,59231_2010
2010,59232,Nick Thompson,PF,80,240,2.0,76.66666666666667,483.0,119.0,,__missing__,Wing F,False,False,59232_2010
2010,59236,Kyrie Irving,PG,75,193,5.0,99.90387277972401,2.0,1.0,,__missing__,Scoring PG,False,False,59236_2010
2010,59243,Will Regan,PF,80,220,4.0,90.47657295850065,155.0,31.0,,__missing__,PF/C,False,False,59243_2010
2010,59245,J.J. Moore,SF,78,190,4.0,96.02385217366884,73.0,14.0,,__missing__,Wing G,False,False,59245_2010
2010,59249,Jeremy Lamb,SG,77,185,4.0,95.40002433978339,80.0,20.0,,__missing__,Wing G,False,False,59249_2010
2010,59250,Gilvydas Biruta,PF,80,240,3.0,88.74074074074072,175.0,38.0,,__missing__,PF/C,False,False,59250_2010
2010,59251,Shabazz Napier,PG,73,175,4.0,94.97140075453328,88.0,20.0,,__missing__,Scoring PG,False,False,59251_2010
2010,59252,Austin Carroll,SG,74,185,3.0,81.11111111111111,421.0,96.0,,__missing__,Combo G,False,False,59252_2010
2010,59255,Mike Poole,SG,77,175,3.0,82.22222222222223,395.0,91.0,,__missing__,Wing F,False,False,59255_2010
2010,59256,Blondy Baruti,PF,81,215,3.0,86.33333333333334,243.0,55.0,,__missing__,PF/C,False,False,59256_2010
2010,59258,Allen Crabbe,SG,78,215,4.0,96.10848651183905,71.0,16.0,,__missing__,Wing G,False,False,59258_2010
2010,59259,Jordan Clarkson,SG,77,194,3.0,88.07407407407406,210.0,48.0,,__missing__,Combo G,False,False,59259_2010
2010,59261,Tim Peete,SG,76,180,3.0,87.40740740740739,233.0,56.0,,__missing__,Wing G,False,False,59261_2010
2010,59262,Terrence Ross,SG,79,195,5.0,98.20576586946413,32.0,5.0,,__missing__,Wing F,False,False,59262_2010
2010,59265,Richard Solomon,PF,82,235,4.0,94.10977242302545,97.0,20.0,,__missing__,PF/C,False,False,59265_2010
2010,59266,Taran Buie,PG,73,160,4.0,91.46879603139423,137.0,29.0,,__missing__,Wing G,False,False,59266_2010
2010,59268,Ben Mills,PF,84,210,3.0,82.22222222222223,395.0,98.0,,__missing__,C,False,False,59268_2010
2010,59269,James Johnson,PF,79,240,3.0,82.66666666666667,375.0,92.0,,__missing__,PF/C,False,False,59269_2010
2010,59270,Tyler Lamb,SG,75,195,5.0,97.61469987242641,41.0,9.0,,__missing__,Combo G,False,False,59270_2010
2010,59271,Kenyon McNeaill,PG,72,180,3.0,85.18518518518518,298.0,58.0,,__missing__,Scoring PG,False,False,59271_2010
2010,59273,Andre Roberson,SF,79,210,4.0,90.77777777777777,149.0,32.0,,__missing__,PF/C,False,False,59273_2010
2010,59274,Tim Hardaway,SG,78,205,4.0,89.18518518518518,163.0,41.0,,__missing__,Wing G,False,False,59274_2010
2010,59275,Romario Souza,PF,81,240,2.0,76.66666666666667,483.0,119.0,,__missing__,Wing F,False,False,59275_2010
2010,59278,Jamaal Franklin,SF,77,191,2.0,76.66666666666667,483.0,85.0,,__missing__,Stretch 4,False,False,59278_2010
2010,59280,Shawntez Patterson,PF,79,195,2.0,76.66666666666667,483.0,119.0,,__missing__,Stretch 4,False,False,59280_2010
2010,59282,Gabriel Moton,PG,79,170,2.0,76.66666666666667,483.0,91.0,,__missing__,Combo G,False,False,59282_2010
2010,59284,Alex Kirk,C,82,230,4.0,94.84272551847198,91.0,9.0,,__missing__,PF/C,False,False,59284_2010
2010,59289,Devon Collier,PF,79,205,4.0,91.4074074074074,139.0,28.0,,__missing__,PF/C,False,False,59289_2010
2010,59291,Eric Moreland,PF,82,218,3.0,85.55555555555554,272.0,71.0,,__missing__,C,False,False,59291_2010
2010,59293,Dominick Brumfield,PF,80,215,2.0,76.66666666666667,483.0,119.0,,__missing__,PF/C,False,False,59293_2010
2010,59294,David Chadwick,PF,81,215,3.0,81.11111111111111,421.0,107.0,,__missing__,Stretch 4,False,False,59294_2010
2010,59295,Vander Joaquim,PF,82,240,2.0,76.66666666666667,483.0,119.0,,__missing__,C,False,False,59295_2010
2010,59296,J.R. Reynolds,SG,77,180,3.0,83.33333333333334,355.0,82.0,,__missing__,PF/C,False,False,59296_2010
2010,59299,Chris Brown,C,83,250,2.0,76.66666666666667,483.0,45.0,,__missing__,C,False,False,59299_2010
2010,59300,Aaron Bright,PG,70,175,3.0,88.29629629629629,198.0,40.0,,__missing__,Scoring PG,False,False,59300_2010
2010,59302,Deonte Burton,PG,73,190,3.0,86.74074074074075,237.0,47.0,,__missing__,Scoring PG,False,False,59302_2010
