feature,importance
scout_emb_90,0.0065713001839846
scout_emb_150,0.006268522366758118
scout_emb_346,0.0062050777127495614
scout_emb_380,0.006178275958805907
scout_emb_307,0.006163395709674632
scout_emb_219,0.006131243540827682
scout_emb_59,0.006093749801822435
scout_emb_312,0.006023359708135201
scout_emb_215,0.005996636106396147
scout_emb_286,0.005878843830771787
scout_emb_248,0.005684983217892813
scout_emb_129,0.005662258376730392
scout_emb_58,0.005655655106118695
scout_emb_81,0.005650326622791162
scout_emb_4,0.005622383592740189
scout_emb_95,0.005618176599019264
scout_emb_113,0.005579845291222721
scout_emb_236,0.005544053616647698
scout_emb_177,0.0055038782851865595
scout_emb_381,0.005408775322767948
scout_emb_139,0.005377737050460459
scout_emb_372,0.005327542394600275
scout_emb_131,0.0052014754626442195
scout_emb_46,0.005134989146040064
scout_emb_331,0.005106073351608508
scout_emb_74,0.004981309682746502
scout_emb_317,0.004944986370821248
scout_emb_148,0.004691919326885256
scout_emb_19,0.004597838088675881
scout_emb_322,0.004358501807622013
scout_emb_309,0.004352190789587126
scout_emb_291,0.004210850424937671
scout_emb_184,0.004100516833553986
scout_emb_51,0.003926579400185832
scout_emb_13,0.003709257983468493
scout_emb_82,0.00369533714912703
scout_emb_40,0.0036526277392799774
scout_emb_190,0.0035905240515444535
scout_emb_300,0.0034752069933854887
scout_emb_171,0.0031715286960350294
scout_emb_136,0.0031681991163848263
scout_emb_362,0.002498612814940401
scout_emb_53,0.0023401716154415465
scout_emb_17,0.0018847654219757545
scout_emb_125,0.0017068779313193219
scout_emb_99,0.001664316607542344
scout_emb_227,0.0015898428060111811
scout_emb_278,0.0013097565777219404
scout_emb_338,0.0013079528651661187
scout_emb_297,0.000978856576645154
scout_emb_3,0.0008647839297307063
scout_emb_315,0.0008626884763218822
scout_emb_191,0.0006731992974417457
scout_emb_371,0.0006539519702555049
scout_emb_168,0.0005811680826204337
scout_emb_160,0.0005370350198865216
scout_emb_162,0.00044477386965215794
scout_emb_16,0.0004333548799896761
scout_emb_172,0.0001533311834578263
scout_emb_39,0.0001459755090311762
scout_emb_145,7.897665632295399e-05
scout_emb_355,2.122510002042594e-05
scout_emb_15,0.0
scout_emb_94,0.0
scout_emb_328,0.0
scout_emb_339,0.0
scout_emb_282,0.0
has_scouting_report_text,0.0
scout_emb_306,0.0
scout_emb_155,0.0
scout_emb_270,0.0
scout_emb_268,0.0
scout_emb_287,0.0
scout_emb_61,0.0
scout_emb_110,0.0
scout_emb_77,0.0
scout_emb_353,0.0
scout_emb_29,0.0
scout_emb_211,0.0
scout_emb_206,0.0
